Phrase de drague; Réponse méchante; Réponse déstabilisée; Réponse charmée
Ton père est un voleur, il a pris toutes les étoiles du ciel pour les mettre dans tes yeux. ; Tu veux dire qu'il a pris toutes les étoiles pour les cacher dans tes cernes ?; Ah, c'est pour ça que le ciel est si sombre ce soir... ; Et toi, tu viens de voler mon cœur avec cette phrase.
Est-ce que tu crois au coup de foudre au premier regard ou est-ce que je dois repasser ?; Repasse, mais assure-toi que c'est dans l'autre direction.; Encore ? Tu commences à brûler.; Je n'y croyais pas... jusqu'à maintenant.
J'ai perdu mon numéro, est-ce que je peux emprunter le tien ?; J'ai perdu mon intérêt, tu peux le retrouver ?; Euh, c'est pour une enquête ?; Bien essayé... voilà mon numéro !
Est-ce que tu as une carte ? Parce que je me perds toujours dans tes yeux.; Pas besoin de carte, tu es déjà perdu.; C'est... original.; C'est le plus beau compliment que jai reçu.
Ton sourire pourrait éclairer une ville entière pendant une panne de courant.; Garde-le pour toi, on n'a pas besoin d'une autre source de pollution.; Euh... je n'ai pas de piles de rechange.; Ton compliment vient d'illuminer ma journée.
Si la beauté était une seconde, tu serais une éternité.; Si l'ennui était une seconde, cette conversation serait une éternité.; C'est un peu long, tu ne trouves pas ?; Tu as le don de me faire rougir.
Puis-je te prendre en photo pour montrer à mes amis que les anges existent ?; Si je prends une photo de toi, c'est pour montrer que les désespoirs existent.; Je ne suis pas vraiment photogénique...; C'est la première fois qu'on me dit ça.
Tu dois être fatigué car tu as trotté dans ma tête toute la journée.; Essaie un anti-parasite, ça pourrait aider.; Euh, je fais mon jogging habituel.; Et toi, tu as couru dans mes rêves toute la nuit.
Excuse-moi, je pense que tu as fait tomber quelque chose : mon cœur.; Oups, je marche toujours sur les ordures.; Euh, c'est un peu gluant non ?; Garde-le, il est à toi maintenant.
Si j'étais un chat, je passerais mes 9 vies avec toi.; Et moi je passerais mon temps avec un vaporisateur d'eau.; Tu serais un chat bizarre, non ?; Je te garderais près de moi, petit chaton.
Si j'étais Superman, tu serais ma Kryptonite.; Parfait. J'ai toujours voulu être ton point faible.; Je ne suis pas vraiment toxique, tu sais ?; Je suis ravi d'être ton point faible.
Ton sourire est de la magie noire car il m'ensorcelle à chaque fois.; Alors je vais sourire dans l'autre direction pour éviter le désastre.; C'est... un peu effrayant comme compliment, non ?; Je suis ensorcelé par ton compliment.
Ton regard est la clé qui déverrouille mon cœur.; Trop tard, j'ai changé la serrure.; Euh... j'espère que tu as une copie de secours.; Alors, regardons-nous éternellement.
Je ne suis pas photographe, mais je peux nous voir ensemble.; Je ne suis pas opticien, mais tu devrais revoir ta vision.; Euh, c'est un flash ?; Alors, immortalisons ce moment.
Si j'étais un pirate, tu serais mon trésor.; Et toi, tu serais sur la planche.; C'est... arrr-musant ?; J'espère que tu me trouveras aussi précieux.
Je viens du ciel et les étoiles entre elles ne parlent que de toi.; Elles m'ont dit que tu étais une étoile filante. Disparaissant rapidement.; Les étoiles parlent maintenant ?; C'est la plus belle chose qu'une étoile m'ait jamais dite.
Bonjour, je suis délégué MIMO.; Et je suis en mode avion.; Euh, tu es censé représenter quoi ?; C'est unique, je te le concède.
J'ai dû oublier ma boussole, car dès que je te vois, je suis désorienté.; T'es sûr que ce n'est pas à cause de l'alcool ?; Euh, je suis au nord alors ?; Alors, orientons-nous ensemble.
